infobel_url,scrape_date,business_name,address,postal_code,city,category,phone,email,website,tva,hours,financial_url,financial_company_name,financial_registered_office,financial_creation_date,financial_tva,financial_fiscal_year,financial_administrators,position,first_name,last_name,financial_nacebel,financial_employee_count
https://www.infobel.com/fr/belgium/rocourt/liege/BE106476086-042630168/businessdetails.aspx,2026-07-29,ROCOURT à Liège - Chaussée de Tongres 269,Chaussée de Tongres 269 4000 Liège LIEGE,4000,Liège,,0474 94 60 69; 04 263 01 68,serviceclients.be@msmode.com,https://www.msmode.be/fr,BE2278529802,Lu: 09:30-19:00; Ma: 09:30-19:00; Me: 09:30-19:00; Je: 09:30-19:00; Ve: 09:30-19:00; Sa: 09:30-19:00,https://www.infobel.com/fr/belgium/financial/vat/BE2278529802,VN Rocourt,Chaussée de Tongres 269 4000 Liège LIEGE,09/08/2018,BE2278529802,,,,,,"Commerce de détail de vêtements, de sous-vêtements et d'accessoires pour dame, homme, enfant et bébé, assortiment général",
https://www.infobel.com/fr/belgium/taverne_saint_paul/liege/BE106410242-042690256/businessdetails.aspx,2026-07-29,Taverne Saint Paul à Liège,Rue Saint-Paul 8 4000 Liège LIEGE,4000,Liège,,04 269 02 56,info@tavernesaintpaul.be,https://tavernesaintpaul.be/,BE2346003297,Lu: 10:30-23:00; Ma: 10:30-23:00; Me: 10:30-23:00; Je: 10:30-01:00; Ve: 10:30-02:00; Sa: 10:30-02:00; Di: 14:00-21:00,https://www.infobel.com/fr/belgium/financial/vat/BE2346003297,Taverne Saint-Paul,Rue Saint-Paul 8 4000 Liège LIEGE,15/06/2023,BE2346003297,,,,,,Cafés et bars,
https://www.infobel.com/fr/belgium/kfc_rocourt/liege/BE106375786-043319359/businessdetails.aspx,2026-07-29,KFC - Rocourt à Liège,Chaussée de Tongres 294 4000 Liège LIEGE,2976,évaluations),,04 331 93 59,,https://www.kfcrestaurants.be/,BE2309199024,Lu: 11:00-23:00; Ma: 11:00-23:00; Me: 11:00-23:00; Je: 11:00-23:00; Ve: 11:00-00:00; Sa: 11:00-00:00; Di: 11:00-23:00,https://www.infobel.com/fr/belgium/financial/vat/BE2309199024,KFC Rocourt,Chaussée de Tongres 294 4000 Liège LIEGE,01/11/2020,BE2309199024,,,,,,"Vente au comptoir ou par téléphone, fax, internet d'aliments et de boissons : services au volant (drive-in)",
https://www.infobel.com/fr/belgium/jambon_violon/liege/BE105983446-042213572/businessdetails.aspx,2026-07-29,Jambon Violon à Liège,Quai de la Dérivation 39 4020 Liège LIEGE,4020,Liège,,04 221 35 72,info@jambonviolon.be,https://jambonviolon.be/,BE0744683450,,https://www.infobel.com/fr/belgium/financial/vat/BE0744683450,Foguenne Tom,Quai de la Dérivation 39 4020 Liège LIEGE,03/03/2020,BE0744683450,31/12/2025,Tom Foguenne,Administrateur,Tom,Foguenne,Restauration à service complet,"2 (2025) 2024 2025 0 1 2 3 4 5 6 7 8 9 10 3 2 Marge Brute16 328 € (2025) 2024 2025 0 € 10,000 € 20,000 € 30,000 € 40,000 € 50,000 € 60,000 € 70,000 € 58,609 16,328"
https://www.infobel.com/fr/belgium/brasserie_grand_curtius/liege/BE105927909-042216840/businessdetails.aspx,2026-07-29,Brasserie - Grand Curtius à Liège,Féronstrée 136 4000 Liège LIEGE,4000,Liège,,0499 34 68 43; 04 221 68 40,,http://www.grandcurtiusliege.be,BE1028760719,Me: 10:00-18:00; Je: 10:00-18:00; Ve: 10:00-18:00; Sa: 10:00-18:00; Di: 10:00-18:00,https://www.infobel.com/fr/belgium/financial/vat/BE1028760719,Brasserie Du Grand Musée Curtius,Féronstrée 136 4000 Liège LIEGE,01/11/2025,BE1028760719,,Jennifer Kempenaire,Administrateur,Jennifer,Kempenaire,"Restauration à service restreint, à l'exclusion de restauration mobile",
https://www.infobel.com/fr/belgium/article_xxiii/liege/BE105491880-042230333/businessdetails.aspx,2026-07-29,Article XXIII à Liège - Chaussée des Prés 44,Chaussée des Prés 44 4020 Liège LIEGE,4020,Liège,,04 223 03 33; 04 222 46 91,info@alest.be,http://www.article23.eu,BE0479622537,Lu: 09:00-16:00; Ma: 09:00-16:00; Me: 09:00-16:00; Je: 09:00-16:00; Ve: 09:00-16:00,https://www.infobel.com/fr/belgium/financial/vat/BE0479622537,Article XXIII,Chaussée des Prés 44 4020 Liège LIEGE,13/12/2002,BE0479622537,31/12/2024,Geneviève Mohamed; Charles Victor Delvaux; Serge Smal,Administrateur,Geneviève,Mohamed,Restauration à service complet,"30 (2024) 2022 2023 2024 26 26 27 27 28 28 29 29 30 30 31 27 28 30 Marge Brute268 902 € (2024) 2022 2023 2024 -100,000 € -80,000 € -60,000 € -40,000 € -20,000 € 0 € 20,000 € 40,000 € -45,883 29,697 -80,443"
https://www.infobel.com/fr/belgium/la_petite_provence/liege/BE100129843-042272747/businessdetails.aspx,2026-07-29,La Petite Provence à Liège,Rue Saint-Léonard 651 4000 Liège LIEGE,4000,Liège,,0471 86 08 91; 04 227 27 47,,https://www.facebook.com/PetiteProvenceCoronmeuse/,BE0662944817,Lu: 07:00-15:00; Ma: 07:00-15:00; Me: 07:00-15:00; Je: 07:00-15:00; Ve: 07:00-15:00,https://www.infobel.com/fr/belgium/financial/vat/BE0662944817,Ernens Laura,Rue Saint-Léonard 651 4000 Liège LIEGE,03/10/2016,BE0662944817,,Laura Ernens,Administrateur,Laura,Ernens,"Restauration à service restreint, à l'exclusion de restauration mobile",
https://www.infobel.com/fr/belgium/investissements_hoteliers/liege/BE100646972-042240272/businessdetails.aspx,2026-07-29,Investissements Hôteliers à Liège,Rue Jean-Baptiste Juppin 17 4000 Liège LIEGE,2094,évaluations),,04 224 02 72; 04 224 03 80,,http://www.campanile-anvers.be/,BE0440809075,,https://www.infobel.com/fr/belgium/financial/vat/BE0440809075,Hotel Gril Campanile,Rue Jean-Baptiste Juppin 17 4000 Liège LIEGE,03/05/1990,BE0440809075,31/12/2024,Jean-Pierre Léon Louis Berghmans; José Vaz Guedes Henriques De Mello; Johan Despeghel,Administrateur,Jean-Pierre,Léon Louis Berghmans,Hôtels et hébergement similaire,"13 (2024) 2022 2024 0 2 4 6 8 10 12 14 9 13 Marge Brute172 364 € (2024) 2022 2023 2024 0 € 20,000 € 40,000 € 60,000 € 80,000 € 100,000 € 120,000 € 140,000 € 160,000 € 180,000 € 70,898 144,338 172,364"
https://www.infobel.com/fr/belgium/o_palmier/liege/BE105933880-042220928/businessdetails.aspx,2026-07-29,Ô Palmier à Liège,Rue Saint-Gilles 165 4000 Liège LIEGE,4000,Liège,,0473 26 71 28; 04 222 09 28,,https://www.facebook.com/opalmiersafi/,BE0833977789,Lu: 11:15-15:30; Ma: 11:15-15:30; Me: 11:15-15:30; Je: 11:15-15:30; Ve: 11:15-15:30; Di: 18:00-23:00,https://www.infobel.com/fr/belgium/financial/vat/BE0833977789,Turgut Kemalettin,Rue Saint-Gilles 165 4000 Liège LIEGE,02/03/2011,BE0833977789,,Kemalettin Turgut,Administrateur,Kemalettin,Turgut,"Restauration à service restreint, à l'exclusion de restauration mobile",
https://www.infobel.com/fr/belgium/exki/liege/BE100853328-043441113/businessdetails.aspx,2026-07-29,EXKi à Liège,Quai des Vennes 1 4020 Luik LUIK,4031,Liège,,04 344 11 13; 04 344 41 70,hello@exki.com,http://www.exki.com,BE2206157805,Lu: 08:00-19:00; Ma: 08:00-19:00; Me: 08:00-19:00; Je: 08:00-19:00; Ve: 08:00-20:00; Sa: 08:00-19:00,https://www.infobel.com/fr/belgium/financial/vat/BE2206157805,Exki,Quai des Vennes 1 4020 Luik LUIK,09/12/2011,BE2206157805,,,,,,Commerce de plats cuisinés frais et prêts à emporter,
